video_id,title,duration_seconds,days_since_upload,views,likes,comments,channel_title,subscribers
57wKYX2LLBQ,I Spent 7 Days on Marvel Rivals to Prove it's Better than Overwatch,2681,299,768900,22587,2208,kraandop,190000
CM5bjFtFVqg,MARVEL RIVALS sweat tries OVERWATCH 2,430,279,5031,294,65,I'mTokyyo,2620
6x3moz2UeyY,I SPECTATED THE #1 LOKI IN MARVEL RIVALS,1723,0,49608,1980,143,Flats,900000
88tCRwx5Qiw,OVERWATCH 2 COPIED MARVEL RIVALS!? #marvel #marvelrivals #marvelrivalsgameplay,29,292,190971,9592,580,Khyomaru,99100
fek20mdqeVw,I modded Overwatch Characters into Marvel Rivals,1426,351,146176,4250,316,ToastedShoes,1030000
5hchKifikBg,Necros Came Back After Marvel Rivals Died!,725,2,21976,683,228,NoobHunter,169000
g8uln1Xbaps,From Overwatch to Rivals: Why Supports Keep Breaking Every Hero Shooter,810,74,60780,2212,793,Sunslime,2090
Tuy4HLrNcvo,ANNIVERSARY EVENT + RIVALS STREAMER OF THE YEAR VOTING ENDS TOMORROW !vote !gamersupps,15910,7,21618,442,7,Flats,900000
VIGpvivHtkQ,"Flats Reacts To ""How Marvel Rivals Made the REAL Overwatch 2""",1270,272,239877,9220,1187,Flats Two,395000
z2n6va4NB6E,How Are Marvel Rivals and Overwatch 2 Different?,1166,283,18089,780,267,The WatchOver,51200
sTQl4N5iezM,Pro Overwatch player tries Marvel Rivals,1610,496,107890,4115,297,Extra Eskay,62900
iWORcQAWun4,I PLAY OVERWATCH FOR THE FIRST TIME AS A MARVEL RIVALS PRO…,583,46,29902,1724,439,Donnysito,1990
oH-mVeF8H6I,Marvel Rivals vs Overwatch 2 Similarities Part 1 #marvelrivals #overwatch2 #marvel  #marvelrivalscc,45,497,42031,1043,96,Soradot,25000
3U-1TPOG3ns,An Overwatch Player's Guide to Marvel Rivals,936,365,54978,2677,252,Spilo,82000
fcsPxUnnP98,Why is Overwatch copying Marvel Rivals?,1069,49,10423,398,142,Apply,67900
To0pHZ1QlhQ,Why Overwatch 2 Ranked is Better than Marvel Rivals,1256,140,18754,699,232,FREEDO,746000
1EyR5SC54J4,Showing @NecrosOW why Overwatch is better than Marvel Rivals,19,136,485419,11990,159,kraandop,190000
H-4QD4ZxQ10,What's Going On With Hero Shooters?,1838,96,344332,17754,3567,Flats,900000
Wy1fj0n1VAU,MARVEL RIVALS CATCHING UP TO OVERWATCH IN 9 MONTHS?,17,59,105290,1980,92,ReplayNext,3240
XrHcl9hwvfg,IF I'M A DPS MAIN IN OVERWATCH... WHO SHOULD I PLAY IN MARVEL RIVALS?,60,371,2645081,127569,1202,SCYTH3,29500
0OsBykyMsA4,Marvel Rivals may have finished Overwatch ft Flats,21,341,1270830,80266,3331,The Gamer Update,63500
333bcKuFd7M,Overwatch 2 ta sofrendo contra Marvel Rivals (graças a deus),616,342,174793,21282,946,O Canal do Pcini,371000
nnvmSWTRqf0,Marvel Rivals VS Overwatch 2 Ultimate Voicelines! #shorts,53,166,54982,1078,58,KaySkay,16100
yequUflP-IQ,The Toxic CONSOLE Marvel Rivals Experience...,624,96,45280,1947,165,GS Raider,89200
CLPEmC-yGjk,Is Overwatch the MARVEL RIVALS Killer?,1045,185,38918,1956,331,chamz,44000
z69I8aRSNnA,Marvel Rivals Just Forced Overwatch To Be Better #shorts #meme,59,292,450932,67970,1071,ClassicMan D,1120000
9wpAFDNqHh4,Marvel Rivals COPIED Overwatch AGAIN! 🤭,38,497,1830139,89380,2578,Bogur Two,120000
Imv2FVh2qGQ,I Spectated A Bronze Overwatch Player Who Is Eternity In Marvel Rivals,1214,26,119403,5070,282,Flats,900000
5bgYABEL31w,overwatch player plays marvel rivals for the time #marvel #rivals #marvelrivals #overwatch2 #gaming,36,246,2478,28,5,hmungbean,282
hHDq9rbBB8I,SICK RIVALS | Marvel Rivals,2250,0,32302,1824,78,ThatPunchKid LIVE,324000
I20Y96Yj2rM,OverWatch 2 SURPASSES Marvel Rivals Player Base 😳😲?,26,94,24697,670,31,Big Unc Chaos,6080
JqWWEl_2cyw,Marvel Rivals Pro tries Overwatch #overwatch2 #overwatchclips,51,219,15736,388,24,OMINAE,310
WNmunBq80C8,Rivals Has Overwatch Actually Working #shorts #meme,60,295,871635,125401,2176,ClassicMan D,1120000
mL6HADJ8HPw,I Spectated The Biggest Loser In Marvel Rivals,2148,30,547944,30527,5175,Flats,900000
fog0-y79JnM,TANKING IN OVERWATCH 2 COMPARED TO MARVEL RIVALS,1189,64,5334,198,89,JaeJETT,1680
FRAOhL3-Xgg,Marvel Rivals VS Overwatch.,15,356,1490625,96234,870,Hew Moran,8110000
4ySLtQHwtts,Marvel Rivals DID WHAT to Overwatch? #overwatch2,34,120,24657,441,67,Gabba,812
Tw3f2Oal570,I modded Overwatch into Marvel Rivals #gaming #overwatch #marvelrivals,60,346,1017929,70543,509,ToastedShoes,1030000
yPbs2aAHt5Q,Marvel Rivals Is The Sequel Overwatch Deserved,773,361,167664,8973,587,KindofBradAtThis,63800
